 0.61596    -0.03960
 0.62526    -0.03855
 0.63459    -0.03747
 0.64394    -0.03637
 0.65333    -0.03525
 0.66275    -0.03410
 0.67220    -0.03294
 0.68168    -0.03176
 0.69119    -0.03058
 0.70071    -0.02938
 0.71025    -0.02819
 0.71978    -0.02699
 0.72930    -0.02580
 0.73879    -0.02462
 0.74826    -0.02345
 0.75769    -0.02229
 0.76708    -0.02116
 0.77644    -0.02005
 0.78577    -0.01896
 0.79506    -0.01791
 0.80431    -0.01688
 0.81353    -0.01588
 0.82273    -0.01492
 0.83188    -0.01399
 0.84101    -0.01310
 0.85010    -0.01225
 0.85916    -0.01144
 0.86820    -0.01067
 0.87719    -0.00995
 0.88615    -0.00928
 0.89508    -0.00865
 0.90395    -0.00807
 0.91276    -0.00754
 0.92150    -0.00706
 0.93013    -0.00664
 0.93864    -0.00626
 0.94698    -0.00594
 0.95509    -0.00567
 0.96293    -0.00545
 0.97042    -0.00528
 0.97752    -0.00515
 0.98417    -0.00506
 0.99034    -0.00500
 0.99603    -0.00497
 0.99955    -0.00496
