     1.001300    0.006689
     0.995803    0.010144
     0.987593    0.015467
     0.979182    0.020422
     0.970127    0.024899
     0.960109    0.029094
     0.948898    0.033229
     0.936389    0.037439
     0.922614    0.041757
     0.907670    0.046168
     0.891717    0.050646
     0.874968    0.055151
     0.857621    0.059646
     0.839852    0.064105
     0.821807    0.068500
     0.803594    0.072811
     0.785295    0.077020
     0.766973    0.081110
     0.748666    0.085067
     0.730395    0.088879
     0.712175    0.092535
     0.694006    0.096026
     0.675880    0.099347
     0.657789    0.102493
     0.639722    0.105460
     0.621656    0.108248
     0.603565    0.110858
     0.585419    0.113296
     0.567186    0.115568
     0.548837    0.117686
     0.530341    0.119663
     0.511681    0.121514
     0.492859    0.123255
     0.473897    0.124899
     0.454835    0.126454
     0.435720    0.127923
     0.416610    0.129306
     0.397568    0.130595
     0.378666    0.131779
     0.359975    0.132841
     0.341577    0.133760
     0.323567    0.134513
     0.306056    0.135068
     0.289147    0.135388
     0.272899    0.135429
     0.257302    0.135150
     0.242302    0.134519
     0.227827    0.133515
     0.213818    0.132125
     0.200228    0.130340
     0.187021    0.128154
     0.174170    0.125562
     0.161650    0.122565
     0.149452    0.119164
     0.137572    0.115364
     0.126017    0.111178
     0.114807    0.106622
     0.103973    0.101720
     0.093537    0.096502
     0.083549    0.091027
     0.074090    0.085376
     0.065228    0.079630
     0.057022    0.073893
     0.049534    0.068272
     0.042793    0.062847
     0.036788    0.057668
     0.031479    0.052757
     0.026811    0.048119
     0.022722    0.043743
     0.019146    0.039609
     0.016020    0.035702
     0.013291    0.032007
     0.010910    0.028505
     0.008835    0.025185
     0.007030    0.022031
     0.005470    0.019029
     0.004137    0.016163
     0.003013    0.013418
     0.002075    0.010789
     0.001313    0.008269
     0.000723    0.005843
     0.000306    0.003508
     0.000062    0.001270
    -0.000011   -0.000892
     0.000114   -0.003021
     0.000494   -0.005129
     0.001218   -0.007168
     0.002365   -0.009046
     0.003937   -0.010664
     0.005877   -0.011975
     0.008102   -0.013012
     0.010568   -0.013832
     0.013259   -0.014494
     0.016188   -0.015034
     0.019379   -0.015480
     0.022871   -0.015847
     0.026715   -0.016147
     0.030976   -0.016383
     0.035738   -0.016551
     0.041104   -0.016641
     0.047213   -0.016642
     0.054243   -0.016535
     0.062401   -0.016299
     0.071908   -0.015906
     0.082972   -0.015329
     0.095676   -0.014548
     0.109896   -0.013540
     0.125328   -0.012285
     0.141632   -0.010766
     0.158582   -0.008972
     0.176099   -0.006907
     0.194160   -0.004596
     0.212732   -0.002081
     0.231736    0.000583
     0.251065    0.003351
     0.270610    0.006186
     0.290296    0.009061
     0.310049    0.011953
     0.329773    0.014832
     0.349397    0.017673
     0.368899    0.020458
     0.388268    0.023171
     0.407493    0.025797
     0.426575    0.028319
     0.445517    0.030726
     0.464322    0.033004
     0.482990    0.035142
     0.501526    0.037125
     0.519950    0.038945
     0.538271    0.040596
     0.556489    0.042068
     0.574609    0.043353
     0.592642    0.044445
     0.610590    0.045337
     0.628457    0.046023
     0.646254    0.046498
     0.663982    0.046758
     0.681644    0.046797
     0.699252    0.046612
     0.716810    0.046201
     0.734312    0.045562
     0.751755    0.044693
     0.769132    0.043594
     0.786424    0.042264
     0.803596    0.040706
     0.820605    0.038921
     0.837388    0.036910
     0.853875    0.034676
     0.869983    0.032221
     0.885614    0.029555
     0.900653    0.026687
     0.914990    0.023629
     0.928538    0.020386
     0.941248    0.016956
     0.953106    0.013334
     0.964150    0.009496
     0.974450    0.005424
     0.984045    0.001113
     0.992987   -0.003470
     0.998642   -0.006685
